ags5,date,unemployment_rate
01053,2013-09-30,5.9
01053,2013-10-31,5.8
01053,2013-11-30,5.9
01053,2013-12-31,5.9
01053,2014-01-31,6.4
01053,2014-02-28,6.5
01053,2014-03-31,6.3
01053,2014-04-30,6.1
01053,2014-05-31,6.0
01053,2014-06-30,5.9
01053,2014-07-31,6.1
01053,2014-08-31,6.1
01053,2014-09-30,5.9
01053,2014-10-31,5.7
01053,2014-11-30,5.7
01053,2014-12-31,5.8
01053,2015-01-31,6.3
01053,2015-02-28,6.3
01053,2015-03-31,6.1
01053,2015-04-30,6.0
01053,2015-05-31,5.7
01053,2015-06-30,5.6
01053,2015-07-31,5.8
01053,2015-08-31,5.9
01053,2015-09-30,5.7
01053,2015-10-31,5.5
01053,2015-11-30,5.5
01053,2015-12-31,5.6
01053,2016-01-31,6.0
01053,2016-02-29,6.0
01053,2016-03-31,6.0
01053,2016-04-30,5.9
01053,2016-05-31,5.7
01053,2016-06-30,5.5
01053,2016-07-31,5.7
01053,2016-08-31,5.7
01053,2016-09-30,5.5
01053,2016-10-31,5.4
01053,2016-11-30,5.3
01053,2016-12-31,5.4
01053,2017-01-31,5.8
01053,2017-02-28,5.9
01053,2017-03-31,5.7
01053,2017-04-30,5.5
01053,2017-05-31,5.4
01053,2017-06-30,5.4
01053,2017-07-31,5.5
01053,2017-08-31,5.7
01053,2017-09-30,5.4
01053,2017-10-31,5.2
01053,2017-11-30,5.2
01053,2017-12-31,5.2
01053,2018-01-31,5.4
01053,2018-02-28,5.4
01053,2018-03-31,5.3
01053,2018-04-30,5.2
01053,2018-05-31,4.9
01053,2018-06-30,4.8
01053,2018-07-31,5.0
01053,2018-08-31,5.1
01053,2018-09-30,4.8
01053,2018-10-31,4.6
01053,2018-11-30,4.6
01053,2018-12-31,4.5
01053,2019-01-31,4.9
01053,2019-02-28,5.0
01053,2019-03-31,4.8
01053,2019-04-30,4.6
01053,2019-05-31,4.6
01053,2019-06-30,4.5
01053,2019-07-31,4.8
01053,2019-08-31,4.7
01053,2019-09-30,4.6
01053,2019-10-31,4.5
01053,2019-11-30,4.6
01053,2019-12-31,4.7
01054,2010-01-31,9.8
01054,2010-02-28,10.2
01054,2010-03-31,9.3
01054,2010-04-30,7.5
01054,2010-05-31,6.7
01054,2010-06-30,6.4
01054,2010-07-31,6.4
01054,2010-08-31,6.4
01054,2010-09-30,6.0
01054,2010-10-31,6.0
01054,2010-11-30,7.0
01054,2010-12-31,8.1
01054,2011-01-31,9.9
01054,2011-02-28,9.8
01054,2011-03-31,8.9
01054,2011-04-30,7.4
01054,2011-05-31,6.9
01054,2011-06-30,6.5
01054,2011-07-31,6.6
01054,2011-08-31,6.5
01054,2011-09-30,6.3
01054,2011-10-31,6.3
01054,2011-11-30,6.9
01054,2011-12-31,7.8
01054,2012-01-31,9.5
01054,2012-02-29,9.5
01054,2012-03-31,8.5
01054,2012-04-30,7.0
01054,2012-05-31,6.1
01054,2012-06-30,6.0
01054,2012-07-31,6.1
01054,2012-08-31,5.9
01054,2012-09-30,5.7
01054,2012-10-31,5.7
01054,2012-11-30,6.6
01054,2012-12-31,7.4
01054,2013-01-31,8.5
01054,2013-02-28,8.7
01054,2013-03-31,7.7
01054,2013-04-30,6.6
01054,2013-05-31,5.9
01054,2013-06-30,5.7
01054,2013-07-31,5.8
01054,2013-08-31,5.6
01054,2013-09-30,5.5
01054,2013-10-31,5.6
01054,2013-11-30,6.4
01054,2013-12-31,7.3
01054,2014-01-31,8.3
01054,2014-02-28,8.3
01054,2014-03-31,7.5
01054,2014-04-30,6.2
01054,2014-05-31,5.7
01054,2014-06-30,5.7
01054,2014-07-31,5.7
01054,2014-08-31,5.6
01054,2014-09-30,5.4
01054,2014-10-31,5.3
01054,2014-11-30,6.0
01054,2014-12-31,6.8
01054,2015-01-31,7.9
01054,2015-02-28,7.9
01054,2015-03-31,7.0
01054,2015-04-30,5.7
01054,2015-05-31,5.2
01054,2015-06-30,5.0
01054,2015-07-31,5.2
01054,2015-08-31,5.3
01054,2015-09-30,5.1
01054,2015-10-31,5.0
01054,2015-11-30,5.8
01054,2015-12-31,6.5
01054,2016-01-31,7.5
01054,2016-02-29,7.5
01054,2016-03-31,6.6
01054,2016-04-30,5.6
01054,2016-05-31,5.3
01054,2016-06-30,5.2
01054,2016-07-31,5.7
01054,2016-08-31,5.9
01054,2016-09-30,5.7
01054,2016-10-31,5.6
01054,2016-11-30,6.0
01054,2016-12-31,6.8
01054,2017-01-31,7.6
01054,2017-02-28,7.8
01054,2017-03-31,7.1
01054,2017-04-30,5.9
01054,2017-05-31,5.4
01054,2017-06-30,5.4
01054,2017-07-31,5.5
01054,2017-08-31,5.7
01054,2017-09-30,5.5
01054,2017-10-31,5.3
01054,2017-11-30,5.9
01054,2017-12-31,6.6
01054,2018-01-31,7.3
01054,2018-02-28,7.3
01054,2018-03-31,6.5
01054,2018-04-30,5.4
01054,2018-05-31,4.8
01054,2018-06-30,4.4
01054,2018-07-31,4.4
01054,2018-08-31,4.5
01054,2018-09-30,4.3
01054,2018-10-31,4.3
01054,2018-11-30,4.9
01054,2018-12-31,5.5
01054,2019-01-31,6.3
01054,2019-02-28,6.3
01054,2019-03-31,5.5
01054,2019-04-30,4.5
01054,2019-05-31,4.2
01054,2019-06-30,4.1
01054,2019-07-31,4.3
01054,2019-08-31,4.1
01054,2019-09-30,4.0
01054,2019-10-31,4.0
01054,2019-11-30,4.6
01054,2019-12-31,5.2
01055,2010-01-31,9.8
01055,2010-02-28,9.9
01055,2010-03-31,9.2
01055,2010-04-30,7.4
01055,2010-05-31,6.6
01055,2010-06-30,6.3
01055,2010-07-31,6.3
01055,2010-08-31,6.3
01055,2010-09-30,6.0
01055,2010-10-31,6.1
01055,2010-11-30,6.9
01055,2010-12-31,7.7
01055,2011-01-31,8.9
01055,2011-02-28,9.0
01055,2011-03-31,8.3
01055,2011-04-30,7.1
01055,2011-05-31,6.3
01055,2011-06-30,6.1
01055,2011-07-31,6.1
01055,2011-08-31,6.0
01055,2011-09-30,5.9
01055,2011-10-31,6.0
01055,2011-11-30,6.7
01055,2011-12-31,7.3
01055,2012-01-31,8.5
01055,2012-02-29,8.4
01055,2012-03-31,7.6
01055,2012-04-30,6.3
01055,2012-05-31,5.7
01055,2012-06-30,5.5
01055,2012-07-31,5.7
01055,2012-08-31,5.7
01055,2012-09-30,5.6
01055,2012-10-31,5.7
01055,2012-11-30,6.5
01055,2012-12-31,7.3
01055,2013-01-31,8.4
01055,2013-02-28,8.3
01055,2013-03-31,7.6
01055,2013-04-30,6.4
01055,2013-05-31,5.7
01055,2013-06-30,5.5
01055,2013-07-31,5.6
01055,2013-08-31,5.4
01055,2013-09-30,5.4
01055,2013-10-31,5.7
01055,2013-11-30,6.6
01055,2013-12-31,7.3
01055,2014-01-31,8.3
01055,2014-02-28,8.4
01055,2014-03-31,7.7
01055,2014-04-30,6.2
01055,2014-05-31,5.7
01055,2014-06-30,5.5
01055,2014-07-31,5.7
01055,2014-08-31,5.6
01055,2014-09-30,5.4
01055,2014-10-31,5.5
01055,2014-11-30,6.1
01055,2014-12-31,6.9
01055,2015-01-31,7.8
01055,2015-02-28,7.8
01055,2015-03-31,7.1
01055,2015-04-30,5.9
01055,2015-05-31,5.5
01055,2015-06-30,5.3
01055,2015-07-31,5.4
01055,2015-08-31,5.5
01055,2015-09-30,5.3
01055,2015-10-31,5.3
01055,2015-11-30,6.0
01055,2015-12-31,6.7
01055,2016-01-31,7.4
01055,2016-02-29,7.5
01055,2016-03-31,6.6
01055,2016-04-30,5.6
01055,2016-05-31,5.2
01055,2016-06-30,5.1
01055,2016-07-31,5.1
01055,2016-08-31,5.3
01055,2016-09-30,5.1
01055,2016-10-31,5.2
01055,2016-11-30,5.8
01055,2016-12-31,6.4
01055,2017-01-31,7.2
01055,2017-02-28,7.2
01055,2017-03-31,6.4
01055,2017-04-30,5.4
01055,2017-05-31,5.0
01055,2017-06-30,4.9
01055,2017-07-31,4.9
01055,2017-08-31,5.1
01055,2017-09-30,4.8
01055,2017-10-31,4.8
01055,2017-11-30,5.3
01055,2017-12-31,5.9
01055,2018-01-31,6.7
01055,2018-02-28,6.7
01055,2018-03-31,5.9
01055,2018-04-30,5.0
01055,2018-05-31,4.6
01055,2018-06-30,4.4
01055,2018-07-31,4.6
01055,2018-08-31,4.6
01055,2018-09-30,4.4
01055,2018-10-31,4.4
01055,2018-11-30,5.0
01055,2018-12-31,5.5
01055,2019-01-31,6.3
01055,2019-02-28,6.2
01055,2019-03-31,5.6
01055,2019-04-30,4.8
01055,2019-05-31,4.5
01055,2019-06-30,4.4
01055,2019-07-31,4.6
01055,2019-08-31,4.5
01055,2019-09-30,4.3
01055,2019-10-31,4.3
01055,2019-11-30,4.9
01055,2019-12-31,5.4
01056,2010-01-31,6.6
01056,2010-02-28,6.7
01056,2010-03-31,6.6
01056,2010-04-30,6.4
01056,2010-05-31,6.1
01056,2010-06-30,6.0
01056,2010-07-31,6.2
01056,2010-08-31,6.1
01056,2010-09-30,5.6
01056,2010-10-31,5.5
01056,2010-11-30,5.4
01056,2010-12-31,5.7
01056,2011-01-31,6.5
01056,2011-02-28,6.3
01056,2011-03-31,6.0
01056,2011-04-30,5.8
01056,2011-05-31,5.6
01056,2011-06-30,5.6
01056,2011-07-31,5.7
01056,2011-08-31,5.5
01056,2011-09-30,5.1
01056,2011-10-31,5.1
01056,2011-11-30,5.1
01056,2011-12-31,5.3
01056,2012-01-31,5.9
01056,2012-02-29,5.9
01056,2012-03-31,5.7
01056,2012-04-30,5.6
01056,2012-05-31,5.4
01056,2012-06-30,5.3
01056,2012-07-31,5.6
01056,2012-08-31,5.5
01056,2012-09-30,5.3
01056,2012-10-31,5.1
01056,2012-11-30,5.1
